step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,6.249429225921631,1,9990.0,-0.0010000000000000009
1,2015-01-26,2,6.379428863525391,0,10187.612588393273,0.01978103987920643
2,2015-01-27,2,6.488142967224121,0,10187.612588393273,0.0
3,2015-01-28,1,6.320857048034668,1,10177.424975804879,-0.0010000000000000009
4,2015-01-29,2,6.340000152587891,0,10198.039685725487,0.0020255329780978215
5,2015-01-30,1,6.311429023742676,1,10187.841646039762,-0.0010000000000000009
6,2015-02-02,1,6.301000118255615,1,10171.007417651232,-0.0016523841823821162
7,2015-02-03,2,6.527429103851318,0,10525.97017280999,0.03489946871366345
8,2015-02-04,1,6.41014289855957,1,10515.44420263718,-0.0010000000000000009
9,2015-02-05,1,6.413000106811523,1,10520.131276611066,0.00044573238025558126
10,2015-02-06,1,6.3480000495910645,1,10413.502690371037,-0.010135670690449627
11,2015-02-09,1,6.329570770263672,1,10383.270593906298,-0.0029031630723727053
12,2015-02-10,2,6.485000133514404,0,10627.604638317132,0.023531510828026514
13,2015-02-11,0,6.498428821563721,0,10627.604638317132,0.0
14,2015-02-12,0,6.52471399307251,0,10627.604638317132,0.0
15,2015-02-13,1,6.658570766448975,1,10616.977033678815,-0.0010000000000000009
16,2015-02-17,1,6.713714122772217,1,10704.902170795898,0.0082815604515456
17,2015-02-18,0,6.786571025848389,1,10821.071254798471,0.010851951951461603
18,2015-02-19,0,6.78000020980835,1,10810.594201172918,-0.0009682085422834108
19,2015-02-20,2,6.8314290046691895,0,10881.703937130571,0.006577782371105734
20,2015-02-23,1,6.740571022033691,1,10870.822233193441,-0.36130821423739845
21,2015-02-24,1,6.783999919891357,1,10940.861971199462,1.6412205571150071
22,2015-02-25,0,6.833285808563232,1,11020.347541873749,1.8015240914781199
23,2015-02-26,0,6.900428771972656,1,11128.632020599327,2.2777830133253922
24,2015-02-27,1,6.78442907333374,1,10941.554086269187,-6.617239166848233
25,2015-03-02,2,6.860713958740234,0,11053.5175718594,2.2967258933819217
26,2015-03-03,2,6.781570911407471,0,11053.5175718594,-0.06402514844855219
27,2015-03-04,2,6.710999965667725,0,11053.5175718594,-0.06385727560810968
28,2015-03-05,2,6.680714130401611,0,11053.5175718594,-0.06368988147059536
29,2015-03-06,2,6.487429141998291,0,11053.5175718594,-0.06352296438055209
30,2015-03-09,2,6.366143226623535,0,11053.5175718594,-0.06335652269033562
31,2015-03-10,2,6.215143203735352,0,11053.5175718594,-0.06319055476006433
32,2015-03-11,2,6.288428783416748,0,11053.5175718594,-0.06302505895756945
33,2015-03-12,2,6.404571056365967,0,11053.5175718594,-0.06286003365834561
34,2015-03-13,2,6.262856960296631,0,11053.5175718594,-0.06269547724550181
35,2015-03-16,2,6.028142929077148,0,11053.5175718594,-0.06253138810971284
36,2015-03-17,1,5.978857040405273,1,11042.46405428754,-0.3428108618759949
37,2015-03-18,1,6.0445709228515625,1,11163.83226561571,2.4332313656362303
38,2015-03-19,1,6.074429035186768,1,11218.977777535833,1.1611899382298816
39,2015-03-20,1,6.118570804595947,1,11300.504045633468,1.6471106167695442
40,2015-03-23,1,6.0714287757873535,1,11213.436541753195,-2.4764205010667397
41,2015-03-24,0,6.261143207550049,1,11563.823710933135,3.7427241066580064
42,2015-03-25,0,6.025000095367432,1,11127.68653449257,-14.619336821879529
43,2015-03-26,1,5.975142955780029,1,11035.604441205696,-1.795102537269977
44,2015-03-27,1,5.925285816192627,1,10943.52234791882,-1.782988341607412
45,2015-03-30,1,6.03671407699585,1,11149.32130852885,3.1237267412662115
46,2015-03-31,0,5.952713966369629,1,10994.179916808378,-2.9877194249147077
47,2015-04-01,0,5.901713848114014,1,10899.986834619567,-1.7261064150626668
48,2015-04-02,0,5.91542911529541,1,10925.317820763243,0.39038673003395075
49,2015-04-06,1,6.0329999923706055,1,11142.461695447006,3.1901356171346062
50,2015-04-07,1,6.049428939819336,1,11172.804628958607,0.4394329636753108
51,2015-04-08,1,6.304999828338623,1,11644.823332654734,5.117977230215834
52,2015-04-09,1,6.278571128845215,1,11596.011668119978,-0.7549519738827399
53,2015-04-10,1,6.493856906890869,1,11993.62703998833,3.8903767322847886
54,2015-04-13,1,6.7811431884765625,1,12524.221502485281,3.931495407984278
55,2015-04-14,2,6.838714122772217,0,12617.919798642448,0.8920354949662641
56,2015-04-15,1,6.792285919189453,1,12605.301878843806,-0.2157754691634949
57,2015-04-16,1,8.02928638458252,1,14900.959699504367,-19.875338433346215
58,2015-04-17,2,8.164999961853027,0,15137.667685640574,0.9524658450806143
59,2015-04-20,2,8.105570793151855,0,15137.667685640574,-0.07090705937639386
60,2015-04-21,2,8.006285667419434,0,15137.667685640574,-0.07071930366568711
61,2015-04-22,2,7.966856956481934,0,15137.667685640574,-0.07053209728893908
62,2015-04-23,2,7.986570835113525,0,15137.667685640574,-0.0703454382452323
63,2015-04-24,1,7.977142810821533,1,15122.530017954934,-0.1404429979482456
64,2015-04-27,1,8.086856842041016,1,15330.518488244912,0.8331528048468757
65,2015-04-28,1,8.043713569641113,1,15248.730378465147,-0.45633531327274024
66,2015-04-29,1,8.040714263916016,1,15243.044496698147,-0.09705881136191369
67,2015-04-30,1,7.949999809265137,1,15071.074143897224,-0.9080972742568143
68,2015-05-01,0,7.957571029663086,1,15085.427153546896,-0.0013311487823418468
69,2015-05-04,0,7.927143096923828,1,15027.743928218459,-0.34288148081928094
70,2015-05-05,2,8.079285621643066,0,15300.849313116645,1.1128799914054974
71,2015-05-06,1,8.00771427154541,1,15285.548463803529,-0.14128419121297617
72,2015-05-07,0,8.074856758117676,1,15413.713592787653,0.5017741395450172
73,2015-05-08,0,8.208571434020996,1,15668.955237223543,1.013826117696581
74,2015-05-11,0,8.427857398986816,1,16087.53988338501,1.578089807627639
75,2015-05-12,1,8.337714195251465,1,15915.469769160853,-0.8800623628111026
76,2015-05-13,0,8.287285804748535,1,15819.209390625221,-0.5181463340265474
77,2015-05-14,1,8.383570671081543,1,16003.003035197906,0.7039045784154759
78,2015-05-15,2,8.760713577270508,0,16706.190445165463,2.3557338768172738
79,2015-05-18,2,8.826713562011719,0,16706.190445165463,-0.0823571772639188
80,2015-05-19,1,8.806857109069824,1,16689.484254720297,-0.15287213112816841
81,2015-05-20,1,8.878999710083008,1,16826.198497814366,0.4705872173984192
82,2015-05-21,0,8.900285720825195,1,16866.53667257159,0.08431781864235993
83,2015-05-22,2,8.883856773376465,0,16818.567500110214,-0.2879884621341134
84,2015-05-26,1,8.799285888671875,1,16801.748932610102,-0.15385002000919754
85,2015-05-27,2,8.985713958740234,0,17140.565281468906,1.1965641601886672
86,2015-05-28,2,8.950714111328125,0,17140.565281468906,-0.08525635095920286
87,2015-05-29,2,8.915143013000488,0,17140.565281468906,-0.0850253822302076
88,2015-06-01,1,8.900285720825195,1,17123.424716187437,-0.1567373942030092
89,2015-06-02,0,8.913000106811523,1,17147.88615912067,0.01722908885611734
90,2015-06-03,0,8.880857467651367,1,17086.0463396921,-0.3488522067284604
91,2015-06-04,0,8.934857368469238,1,17189.937750073776,0.3394346082387307
92,2015-06-05,2,9.04599952697754,0,17386.36244327638,0.6874981981209876
93,2015-06-08,1,8.960429191589355,1,17368.9760808331,-0.1590519626865721
94,2015-06-09,0,9.244999885559082,1,17920.59045902669,1.7983394115682085
95,2015-06-10,0,9.587142944335938,1,18583.80362404967,1.9895740640778017
96,2015-06-11,2,9.509428977966309,0,18414.729014442415,-0.783878532459387
97,2015-06-12,2,9.44185733795166,0,18414.729014442415,-0.09393847618817922
98,2015-06-15,0,9.343143463134766,0,18414.729014442415,-0.09368009705595051
99,2015-06-16,2,9.5272855758667,0,18414.729014442415,-0.09342254826087866
100,2015-06-17,1,9.427143096923828,1,18396.314285427972,-0.16560606237305095
101,2015-06-18,0,9.474286079406738,1,18488.31003781992,0.2571225000004315
102,2015-06-19,0,9.3871431350708,1,18318.25756537102,-0.7965277739647769
103,2015-06-22,1,9.64142894744873,1,18814.475950382723,1.5485409289153989
104,2015-06-23,0,9.73128604888916,1,18989.824882915116,0.5380136490773908
105,2015-06-24,2,9.694429397583008,0,18898.98417941167,-0.45364428699991416
106,2015-06-25,0,9.489143371582031,0,18898.98417941167,-0.09570421153261241
107,2015-06-26,2,9.308856964111328,0,18898.98417941167,-0.09544013339063498
108,2015-06-29,1,9.223142623901367,1,18880.08519523226,-0.16840579807803968
109,2015-06-30,1,9.384857177734377,1,19211.12036168019,1.0436424251531542
110,2015-07-01,0,9.363571166992188,1,19167.54717706547,-0.26566738518391325
111,2015-07-02,0,9.40442943572998,1,19251.185436404554,0.21349849051123315
112,2015-07-06,0,9.45714282989502,1,19359.091538841556,0.2989794533615635
113,2015-07-07,0,9.409143447875977,1,19260.835178857535,-0.484117894199194
114,2015-07-08,0,9.350713729858398,1,19141.22756797158,-0.5726128432341601
115,2015-07-09,0,9.572713851928713,1,19595.669333533973,1.390171842263149
116,2015-07-10,0,9.722857475280762,1,19903.018413560283,0.9370863886267395
117,2015-07-13,0,10.10871410369873,1,20692.879994882634,2.047234998863041
118,2015-07-14,0,10.037142753601074,1,20546.37101822648,-0.6499062516144802
119,2015-07-15,0,9.812999725341797,1,20087.542651148444,-1.985464332366409
120,2015-07-16,2,11.581000328063965,0,23682.993039808865,-2.2024679704743564
121,2015-07-17,2,11.47700023651123,0,23682.993039808865,-0.09986104895033843
122,2015-07-20,0,11.05500030517578,0,23682.993039808865,-0.09958338281947572
123,2015-07-21,2,11.25100040435791,0,23682.993039808865,-0.09930663192720261
124,2015-07-22,2,11.149999618530272,0,23682.993039808865,-0.0990307921667374
125,2015-07-23,2,11.010000228881836,0,23682.993039808865,-0.09875585945739879
126,2015-07-24,2,10.934000015258787,0,23682.993039808865,-0.09848182974439189
127,2015-07-27,2,10.642999649047852,0,23682.993039808865,-0.09820869899859618
128,2015-07-28,2,10.6899995803833,0,23682.993039808865,-0.09793646321635513
129,2015-07-29,2,10.708000183105469,0,23682.993039808865,-0.09766511841926857
130,2015-07-30,2,11.156000137329102,0,23682.993039808865,-0.09739466065398643
131,2015-07-31,2,11.430999755859377,0,23682.993039808865,-0.09712508599200477
132,2015-08-03,0,11.255999565124512,0,23682.993039808865,-0.09685639052946372
133,2015-08-04,2,12.114999771118164,0,23682.993039808865,-0.09658857038694744
134,2015-08-05,2,12.371000289916992,0,23682.993039808865,-0.0963216217092859
135,2015-08-06,2,12.645000457763672,0,23682.993039808865,-0.09605554066535853
136,2015-08-07,1,12.35200023651123,1,23659.310046769056,-0.1526816819633807
137,2015-08-10,2,12.303000450134276,0,23541.889255601494,-0.3837687494536816
138,2015-08-11,2,12.27400016784668,0,23541.889255601494,-0.09431088294644496
139,2015-08-12,2,12.050999641418455,0,23541.889255601494,-0.09405130542330163
140,2015-08-13,2,12.373000144958496,0,23541.889255601494,-0.09379256341176664
141,2015-08-14,2,12.33899974822998,0,23541.889255601494,-0.09353465330282339
142,2015-08-17,2,12.53600025177002,0,23541.889255601494,-0.09327757150952924
143,2015-08-18,2,12.404999732971191,0,23541.889255601494,-0.09302131446683981
144,2015-08-19,1,12.206000328063965,1,23518.347366345894,-0.15062710497627865
145,2015-08-20,2,11.24899959564209,0,21652.737590586436,-6.430014798125183
146,2015-08-21,2,10.395999908447266,0,21652.737590586436,-0.07593175968899564
147,2015-08-24,1,9.687999725341797,1,21631.084852995853,-0.13053237262922374
148,2015-08-25,0,10.152000427246094,1,22667.09216506123,2.0598262530418645
149,2015-08-26,0,11.012999534606934,1,24589.506004623858,2.9300569565370873
150,2015-08-27,0,11.765999794006348,1,26270.78314822142,2.447947401353141
151,2015-08-28,2,11.762999534606934,0,26237.820171780244,-0.1597062568573231
152,2015-08-31,2,11.503000259399414,0,26237.820171780244,-0.09466907628457766
153,2015-09-01,2,10.57900047302246,0,26237.820171780244,-0.0944083443110062
154,2015-09-02,2,10.543999671936035,0,26237.820171780244,-0.0941484528464581
155,2015-09-03,2,10.105999946594238,0,26237.820171780244,-0.09388939825128359
156,2015-09-04,2,9.878999710083008,0,26237.820171780244,-0.09363117690815098
157,2015-09-08,2,9.494999885559082,0,26237.820171780244,-0.09337378522186866
158,2015-09-09,2,9.91800022125244,0,26237.820171780244,-0.09311721961920902
159,2015-09-10,2,9.947999954223633,0,26237.820171780244,-0.09286147654873383
160,2015-09-11,2,9.75100040435791,0,26237.820171780244,-0.09260655248062125
161,2015-09-14,0,9.569000244140623,0,26237.820171780244,-0.09235244390649465
162,2015-09-15,2,9.916000366210938,0,26237.820171780244,-0.09209914733925294
163,2015-09-16,2,10.407999992370604,0,26237.820171780244,-0.0918466593129023
164,2015-09-17,0,10.42099952697754,0,26237.820171780244,-0.09159497638239002
165,2015-09-18,2,10.26200008392334,0,26237.820171780244,-0.0913440951234392
166,2015-09-21,1,10.029999732971191,1,26211.582351608464,-0.14428371166242135
167,2015-09-22,0,9.847000122070312,1,25733.346110417682,-1.1365674779493697
168,2015-09-23,0,9.807000160217283,1,25628.81347611209,-0.30636168049327195
