episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,24.807335232255006,1.650004938674661,0.71557,0.0,sharpe_ratio,1,0,9.547219068034481,0.7144920794782879,0.5347740599040539,1.3360634575403263,-0.606265385382069,-0.5207393302398546,-0.0630875007931162,0.573376878366222,-0.11002798189713806,-0.749897905417502
2,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,14.583460444979288,1.6669668483590794,0.4311400000000001,0.0,sharpe_ratio,1,0,15.318134650811874,0.8115078110947977,0.4977714071634488,1.6302820921739487,-0.606265385382069,-0.10651175896472065,0.08950760931468027,0.49214582880554936,0.18187212829156257,-0.5720220618868437
3,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,39.19406999170862,1.4751808582820651,0.14671,0.0,sharpe_ratio,1,0,13.202181778363357,0.8010606712564476,0.5325952019620445,1.5040703864875138,-0.6156936424806067,-0.05888336022141172,0.1482604969899528,0.5611785823012135,0.2641948600069233,-0.726447442901285
4,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,21.987321749296758,1.644594461183669,0.050000000000000044,0.0,sharpe_ratio,0,1,30.421489721776105,1.0213705060853155,0.4968494435514205,2.055694173238237,-0.5602660140229617,-0.23896069769976302,0.05105489679252395,0.5206674528958491,0.09805663194149497,-0.7022324614285048
5,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,25.466397589819117,1.549735403809455,0.050000000000000044,0.0,sharpe_ratio,0,2,63.31464672344694,1.2627181608573368,0.4825033743213384,2.617014155876949,-0.5180520430566582,-0.0022995039036828313,0.12330054109758426,0.48494639696724584,0.2542560206007927,-0.5113865937513404
6,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,17.13430121071279,1.59108520334533,0.050000000000000044,0.0,sharpe_ratio,1,0,32.97567272486642,0.9933111801128902,0.4402976330052,2.255999364187268,-0.4408151135325107,0.3646377849205402,0.21434343486962582,0.44108150247186684,0.48594972509257994,-0.45160417696896316
7,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,31.82388101503513,1.662950216808077,0.050000000000000044,0.0,sharpe_ratio,1,0,31.595730005333337,0.9928479052122314,0.45541006602601614,2.1801184894220436,-0.5180520430566581,0.4583149743464683,0.24384752116356467,0.4495689862738456,0.5424028983507996,-0.5604090200161642
8,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,28.991116213122574,1.5823723300743995,0.050000000000000044,0.0,sharpe_ratio,0,1,39.909130417844224,1.0512556599649612,0.43473967050821727,2.418126826880159,-0.5180520430566582,0.4279679536165386,0.2116527898208891,0.40319510243352163,0.5249388907341358,-0.4925133971667134
9,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,30.800505388779612,1.5897547182195888,0.050000000000000044,0.0,sharpe_ratio,1,0,35.7800790786853,1.01350152869274,0.43267196445086253,2.3424247743415805,-0.5180520430566581,0.9997505025744813,0.3680467235145437,0.442598871742198,0.8315582054373629,-0.4795963768251915
10,44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,31.634233449232465,1.6436308789189529,0.050000000000000044,0.0,sharpe_ratio,1,0,78.3099419289033,1.313438538344864,0.4553982774743303,2.8841535054310765,-0.38525770094085277,1.327902769078297,0.4419581079965422,0.45422384749193484,0.9729962670099341,-0.4995998552809767
