episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,8.069823221127093,1.5122346607251809,0.71557,0.0,sharpe_ratio,1,0,1.6089377273455283,0.20212687362563653,0.21224615782915707,0.9523228862796855,-0.2875902770630264,0.028920762442115278,0.02806016453674709,0.19308281082525944,0.14532709782302491,-0.252180319875278
2,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,1.4690418954204336,1.3500793211525413,0.4311400000000001,0.0,sharpe_ratio,0,1,4.32010633151716,0.3868016831004797,0.3020701153640902,1.2805029806879809,-0.2796666376239667,-0.0559121836072215,0.039032821499656034,0.33353436437519385,0.1170278857855495,-0.5042872685420554
3,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,-4.655276474377298,1.1990680730812695,0.14671,0.0,sharpe_ratio,0,2,4.4666392057552455,0.38986837537683705,0.29404802865555063,1.3258663122463266,-0.2502033879563811,-0.32961387833651934,-0.0732355317196044,0.310412281334006,-0.23592987817644495,-0.5393273548953782
4,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,-6.966276067470286,1.1014148862105493,0.050000000000000044,0.0,sharpe_ratio,0,3,5.688389959048317,0.432135679362333,0.28013289188385926,1.5426095681098841,-0.25716186363289295,-0.038991009350529904,0.02797863747400653,0.2813575753976522,0.09944156447347605,-0.3881822732026199
5,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,-12.300998254449715,1.1065280312048886,0.050000000000000044,0.0,sharpe_ratio,0,4,7.394334725453264,0.4918966204020936,0.28934439150681907,1.7000385521227597,-0.25716186363289273,-0.4608618252426909,-0.13799649778222856,0.2944706797375593,-0.4686255959514033,-0.5854563980513204
6,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,2.337103770027082,1.097173713610502,0.050000000000000044,0.0,sharpe_ratio,1,0,6.711481481099995,0.4539971308742847,0.24754930389948027,1.833966501714077,-0.22718710380000717,0.09207242366758006,0.060623062785230886,0.24839988693530954,0.2440543090948301,-0.2753705453985801
7,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,8.936184345905115,1.0473330387212312,0.050000000000000044,0.0,sharpe_ratio,0,1,13.492579136711722,0.6176472774007267,0.24916248406946304,2.478893560992654,-0.23286331764682322,-0.391398699799249,-0.10285025862895725,0.30135687702619385,-0.34129056434314436,-0.5248830979546624
8,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,-0.7288827886893716,1.07790836837185,0.050000000000000044,0.0,sharpe_ratio,0,2,9.043558436360936,0.5171531633815052,0.23900666924656794,2.16376038799148,-0.22718710380000717,-0.005309274427550914,0.0352980677580097,0.2678966302009288,0.13176002897660682,-0.330192230310553
9,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,18.768438761259354,1.0607023402779756,0.050000000000000044,0.0,sharpe_ratio,0,3,14.775024179023106,0.63535775185967,0.2348710584377116,2.7051342812770116,-0.23286331764682322,-0.33219934065721435,-0.08147601129694815,0.2829853010786616,-0.28791605424869826,-0.43078009427905517
10,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,6.984035045185068,1.0139787618167893,0.050000000000000044,0.0,sharpe_ratio,0,4,20.337666376745165,0.725148910163631,0.24596358265276416,2.9481962424793204,-0.22718710380000706,-0.2969442330986647,-0.06844428796232382,0.2778505339629902,-0.2463349160647668,-0.4137467432241312
11,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,14.581574567181175,0.9746657314305315,0.050000000000000044,0.0,sharpe_ratio,0,5,9.953616404812855,0.5305425468107743,0.21311502487034706,2.4894657105173175,-0.21873939944489218,-0.2741469066182678,-0.05873731960863837,0.2775467619757653,-0.21163035443291237,-0.4100251353397145
