episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,14.884455489215327,1.7012399941300735,0.71557,0.0,sharpe_ratio,1,0,1.1502334171261186,0.1911568687551113,0.30127494636415564,0.634493080364064,-0.4885089569120926,0.4022780803055215,0.15526638751720667,0.2792555131859944,0.5560011537311838,-0.3080583924676433
2,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,-11.687447570387281,1.279070653952036,0.4311400000000001,0.0,sharpe_ratio,0,1,1.1983263572231673,0.18077143886633618,0.25761271589411944,0.7017178412133758,-0.44737051462625765,0.024811725435185394,0.039506347166981204,0.2501227989398215,0.15794780537573574,-0.2931207659054882
3,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,-33.05820695761212,1.1427842553010685,0.14671,0.0,sharpe_ratio,0,2,0.6808034645361698,0.12115387220269969,0.23050040363309107,0.5256124080179555,-0.40311727880683734,-0.14450886812688368,-0.026162510541670847,0.21183525424900052,-0.1235040439063003,-0.30882325390548027
4,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,-33.104443900889855,1.2242566932816463,0.050000000000000044,0.0,sharpe_ratio,0,3,2.7230671203629937,0.29675547145410497,0.276453028811076,1.0734390313260174,-0.47155066415419045,0.005580578936994041,0.03433119966097564,0.2539602753278504,0.1351833455710966,-0.2932865798179677
5,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,-561.1918415911027,35.86963010823719,0.050000000000000044,0.0,sharpe_ratio,1,0,3.738786147422533,0.35350792672299636,0.2843669004445264,1.2431402043289417,-0.47731794776764924,0.5086985558885786,0.17921232324832448,0.27130297074650056,0.660561595603671,-0.25879301426236545
6,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,28.07333757658533,49.23021780680081,0.050000000000000044,0.0,sharpe_ratio,1,0,6.139753100557737,0.4453513522662993,0.2725570082650132,1.6339750538840458,-0.4821018976281155,0.7424725526499951,0.23151946358011632,0.26553962785749363,0.8718829104647431,-0.2702355684202452
7,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,3.425966992815018,37.639486247607685,0.050000000000000044,0.0,sharpe_ratio,1,0,3.89526577951085,0.3577305661302974,0.27611964768949226,1.295563604849228,-0.4926440005315982,0.990581737602581,0.27746487998328817,0.2463899529989239,1.126120917700325,-0.24507125845687994
8,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,-7.151864177610419,25.95093788332993,0.050000000000000044,0.0,sharpe_ratio,0,1,6.2601037595402165,0.45522043707498616,0.28668152972030564,1.587895939857415,-0.5183962254773724,0.7612378295345092,0.23399235833796062,0.2606772284318124,0.8976325233531782,-0.27309449913097605
9,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,15.142793432746739,29.254581606937553,0.050000000000000044,0.0,sharpe_ratio,0,2,8.673033146864688,0.5270018131763612,0.2861155088232049,1.84191977339475,-0.4830771262566358,0.44442264674092224,0.1607396545066393,0.26347064912122187,0.6100856207048838,-0.2597619683173693
10,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,-10.014809672672516,20.86261686746407,0.050000000000000044,0.0,sharpe_ratio,0,3,9.35243723404918,0.5312981338913503,0.25440793089847036,2.088370956105853,-0.4293639284949634,0.18924367865941516,0.07728539751430263,0.2026540259125676,0.381366208572863,-0.33564937788430116
11,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,-551.451841580102,46.07515516435216,0.050000000000000044,0.0,sharpe_ratio,0,4,8.449053469016018,0.5282164497209481,0.3021922428155375,1.7479484079390448,-0.5028856446260745,0.4745382062698482,0.16864708171710063,0.26400573884725526,0.638800817184789,-0.3683754948217155
12,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,-549.3998146383454,45.933449005953214,0.050000000000000044,0.0,sharpe_ratio,0,5,9.874887507187115,0.5505789027746306,0.27034597897085383,2.0365714514066764,-0.36160252846079066,0.5478927645683149,0.17863184298460122,0.2375480656344425,0.7519818884128227,-0.28472288902763
13,45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,-9.192263828615115,57.022712147864965,0.050000000000000044,0.0,sharpe_ratio,0,6,16.34749020494734,0.6816207749297571,0.2793735929414086,2.4398181938144363,-0.36146823615311385,0.12048371335313868,0.0683095043168147,0.2480488595100972,0.2753872944698384,-0.4155725498793179
