step,date,action,price,position,portfolio_value,reward
0,2015-01-23,2,77.83000183105469,0,10000.0,0.0
1,2015-01-26,0,77.5,0,10000.0,0.0
2,2015-01-27,0,75.77999877929688,0,10000.0,0.0
3,2015-01-28,0,76.23999786376953,0,10000.0,0.0
4,2015-01-29,2,78.0,0,10000.0,0.0
5,2015-01-30,0,75.91000366210938,0,10000.0,0.0
6,2015-02-02,0,74.98999786376953,0,10000.0,0.0
7,2015-02-03,0,75.4000015258789,0,10000.0,0.0
8,2015-02-04,0,75.62999725341797,0,10000.0,0.0
9,2015-02-05,0,75.61000061035156,0,10000.0,0.0
10,2015-02-06,2,74.47000122070312,0,10000.0,0.0
11,2015-02-09,0,74.44000244140625,0,10000.0,0.0
12,2015-02-10,0,75.19000244140625,0,10000.0,0.0
13,2015-02-11,0,76.51000213623047,0,10000.0,0.0
14,2015-02-12,2,76.2300033569336,0,10000.0,0.0
15,2015-02-13,2,75.73999786376953,0,10000.0,0.0
16,2015-02-17,0,75.5999984741211,0,10000.0,0.0
17,2015-02-18,0,76.70999908447266,0,10000.0,0.0
18,2015-02-19,1,79.41999816894531,1,9990.0,-0.0010000000000000009
19,2015-02-20,1,79.9000015258789,1,10050.37816225538,0.006043860085623631
20,2015-02-23,0,78.83999633789062,1,9917.043333847594,-0.013266647906695739
21,2015-02-24,0,78.44999694824219,1,9867.986496874368,-4.322218916643086
22,2015-02-25,1,79.55999755859375,1,10007.6100973915,18.244783260308523
23,2015-02-26,1,80.41000366210938,1,10114.529779712035,7.141736170123819
24,2015-02-27,1,78.97000122070312,1,9933.396252624225,-12.94145218388918
25,2015-03-02,1,79.75,1,10031.509926570678,4.925151908944217
26,2015-03-03,1,79.5999984741211,1,10012.641690885976,-0.866397540596161
27,2015-03-04,1,80.9000015258789,1,10176.165120582285,7.34788558776576
28,2015-03-05,1,81.20999908447266,1,10215.158770566559,1.4922593361996062
29,2015-03-06,0,80.01000213623047,1,10064.214804445606,-6.788468856105221
30,2015-03-09,0,79.44000244140625,1,9992.516276586404,-2.7075385524275055
31,2015-03-10,0,77.55000305175781,1,9754.77900212282,-8.72058604921246
32,2015-03-11,0,77.56999969482422,1,9757.29431903089,0.09978250932966527
33,2015-03-12,1,78.93000030517578,1,9928.36465912975,6.09093821356708
34,2015-03-13,0,78.05000305175781,1,9817.672481286272,-3.216153596068804
35,2015-03-16,0,78.06999969482422,1,9820.187798194343,0.08567448450426661
36,2015-03-17,1,79.36000061035156,1,9982.453089597451,5.026306188179007
37,2015-03-18,1,80.91000366210938,1,10177.423258875488,5.327127648630033
38,2015-03-19,0,82.75,1,10408.870801551393,5.387966150256418
39,2015-03-20,1,83.80000305175781,1,10540.947491665976,2.7672529695669286
40,2015-03-23,1,84.43000030517578,1,10620.192929927727,1.628349183548689
41,2015-03-24,1,85.30999755859375,1,10730.885107771204,2.1832607207748738
42,2015-03-25,0,82.91999816894531,1,10430.254354144166,-8.206043302147997
43,2015-03-26,1,83.01000213623047,1,10441.575679426322,0.20315990329616088
44,2015-03-27,0,83.30000305175781,1,10478.054012502524,0.6970517802006582
45,2015-03-30,1,83.19999694824219,1,10465.474548927168,-0.2788321745496105
46,2015-03-31,1,82.22000122070312,1,10342.203867186667,-2.652773684333908
47,2015-04-01,1,81.66999816894531,1,10273.020656235536,-1.4402933987027018
48,2015-04-02,1,81.55999755859375,1,10259.18401404531,-0.2939719115065764
49,2015-04-06,1,82.44000244140625,1,10369.877151567118,2.157334554882101
50,2015-04-07,1,82.31999969482422,1,10354.782371083691,-0.3196714198800631
51,2015-04-08,1,82.27999877929688,1,10349.750777589214,-0.1182426191936892
52,2015-04-09,0,82.16999816894531,1,10335.914135398989,-0.2950769180089139
53,2015-04-10,2,82.04000091552734,0,10309.242614124389,-0.5557511235448246
54,2015-04-13,2,83.01000213623047,0,10309.242614124389,-0.015528612198663833
55,2015-04-14,2,83.5199966430664,0,10309.242614124389,-0.015489630180799883
56,2015-04-15,2,82.70999908447266,0,10309.242614124389,-0.01545074657917861
57,2015-04-16,2,82.30999755859375,0,10309.242614124389,-0.015411961141149285
58,2015-04-17,2,80.77999877929688,0,10309.242614124389,-0.015373273614741025
59,2015-04-20,1,83.08999633789062,1,10298.933371510264,-0.22587496686902947
60,2015-04-21,1,83.62000274658203,1,10364.627208676762,1.3004689832778527
61,2015-04-22,1,84.62999725341797,1,10489.815156563953,2.4036489853133913
62,2015-04-23,1,82.41000366210938,1,10214.648865918194,-6.175902776859384
63,2015-04-24,0,81.52999877929688,1,10105.573019797874,-2.11857186524141
64,2015-04-27,1,81.91000366210938,1,10152.674297225056,0.8872413317440799
65,2015-04-28,0,80.68000030517578,1,10000.216442150915,-2.9462969218903026
66,2015-04-29,1,80.47000122070312,1,9974.187236778622,-0.4902322993327665
67,2015-04-30,0,78.7699966430664,1,9763.473135827833,-3.9609741397080476
68,2015-05-01,2,78.98999786376953,0,9780.951355260553,0.3393965519903575
69,2015-05-04,2,78.80999755859375,0,9780.951355260553,0.010637519826369544
70,2015-05-05,2,77.55999755859375,0,9780.951355260553,0.010610856712997292
71,2015-05-06,2,78.0999984741211,0,9780.951355260553,0.010584260610714819
72,2015-05-07,2,78.43000030517578,0,9780.951355260553,0.010557731349761174
73,2015-05-08,2,78.51000213623047,0,9780.951355260553,0.010531268760815529
74,2015-05-11,2,78.01000213623047,0,9780.951355260553,0.010504872674995953
75,2015-05-12,2,77.45999908447266,0,9780.951355260553,0.010478542923858223
76,2015-05-13,2,78.44000244140625,0,9780.951355260553,0.010452279339394585
77,2015-05-14,1,81.37000274658203,1,9771.170403905293,-0.17578642668878328
78,2015-05-15,0,80.41999816894531,1,9657.090813156252,-2.121069362809547
79,2015-05-18,1,80.87999725341797,1,9712.328975726075,1.0950619739535152
80,2015-05-19,1,80.62999725341797,1,9682.308175449294,-0.5550301522289912
81,2015-05-20,1,80.55000305175781,1,9672.702215643934,-0.16892073956946338
82,2015-05-21,1,80.4800033569336,1,9664.29642821292,-0.1461484727874517
83,2015-05-22,1,80.54000091552734,1,9671.501127107469,0.15498857665314175
84,2015-05-26,1,79.33000183105469,1,9526.2005637073,-2.6753373987936677
85,2015-05-27,1,80.55000305175781,1,9672.702215643934,3.028183559072362
86,2015-05-28,1,80.1500015258789,1,9624.668751968658,-0.8717717848636692
87,2015-05-29,1,79.19000244140625,1,9509.38898884527,-2.0731301212601765
88,2015-06-01,1,80.29000091552734,1,9641.480326830688,2.6489557525495853
89,2015-06-02,1,80.44000244140625,1,9659.49299022918,0.34737010782791283
90,2015-06-03,1,82.44000244140625,1,9899.659392443435,4.699472966626579
91,2015-06-04,1,82.05000305175781,1,9852.827017304624,-0.7968691764714293
92,2015-06-05,1,82.13999938964844,1,9863.634065646449,0.1912843467040793
93,2015-06-08,1,80.66999816894531,1,9687.111613433033,-2.997064639155785
94,2015-06-09,1,80.66999816894531,1,9687.111613433033,0.011888529709636376
95,2015-06-10,1,82.16000366210938,1,9866.036242719378,3.213029877698212
96,2015-06-11,1,81.83000183105469,1,9826.408566475116,-0.6515025794149271
97,2015-06-12,1,81.52999877929688,1,9790.383239678133,-0.5931413586848518
98,2015-06-15,1,80.70999908447266,1,9691.915051416772,-1.6245451128065655
99,2015-06-16,1,81.05999755859375,1,9733.943988571844,0.7258872471961156
100,2015-06-17,1,81.79000091552734,1,9821.605128491377,1.503782997621255
101,2015-06-18,1,82.91000366210938,1,9956.098643549723,2.2677425470252683
102,2015-06-19,1,82.51000213623047,1,9908.06517987445,-0.7793304661979875
103,2015-06-22,1,84.73999786376953,1,10175.850205292556,4.408673264117414
104,2015-06-23,1,87.87999725341797,1,10552.911383475965,5.447100192302044
105,2015-06-24,0,88.86000061035156,1,10670.593323672281,1.5315647884772807
106,2015-06-25,1,87.9800033569336,1,10564.920436516373,-1.4996086433382136
107,2015-06-26,1,88.01000213623047,1,10568.522785963647,0.02736717560436373
108,2015-06-29,1,85.80000305175781,1,10303.13902145635,-3.905840107390623
109,2015-06-30,1,85.7699966430664,1,10299.535755846959,-0.06072487365389149
110,2015-07-01,1,86.91000366210938,1,10436.431447978232,1.8028634683662745
111,2015-07-02,1,87.29000091552734,1,10482.062734580577,0.5847858860850325
112,2015-07-06,1,87.55000305175781,1,10513.284623393823,0.39352658012777264
113,2015-07-07,1,87.22000122070312,1,10473.656947149562,-0.5495518417649699
114,2015-07-08,1,85.6500015258789,1,10285.126358057858,-2.6408303955185897
115,2015-07-09,1,85.87999725341797,1,10312.74498126171,0.3573497345552873
116,2015-07-10,1,87.94999694824219,1,10561.31717090698,3.184301170486541
117,2015-07-13,1,90.0999984741211,1,10819.496236519726,3.065190697215351
118,2015-07-14,1,89.68000030517578,1,10769.061511933642,-0.6523305098451609
119,2015-07-15,1,89.76000213623047,1,10778.66838790112,0.09198990961074784
120,2015-07-16,1,90.8499984741211,1,10909.558637350072,1.5162804029125307
121,2015-07-17,1,94.97000122070312,1,11404.301755729797,4.9112697095208855
122,2015-07-20,1,97.91000366210938,1,11757.346660156629,3.1719913580535097
123,2015-07-21,1,98.38999938964844,1,11814.986083637265,0.5190679035981127
124,2015-07-22,1,97.04000091552734,1,11652.873945375066,-1.8216008407664042
125,2015-07-23,1,95.44000244140624,1,11460.741006836084,-2.1742062505493007
