step,date,action,price,position,portfolio_value,reward
0,2015-01-23,0,28.2450008392334,0,10000.0,0.0
1,2015-01-26,1,28.274999618530273,1,9990.0,-0.0010000000000000009
2,2015-01-27,0,27.28499984741211,1,9640.217582779776,-0.035013254976999364
3,2015-01-28,0,28.82749938964844,1,10185.206818317807,0.056532877070278875
4,2015-01-29,0,29.725000381469727,1,10502.3079687779,0.03113350137277493
5,2015-01-30,0,29.290000915527344,1,10348.615847702982,-0.014634128187044904
6,2015-02-02,1,29.657499313354492,1,10478.458784708266,0.0125468892570888
7,2015-02-03,0,29.662500381469727,1,10480.225740363268,0.00016862743761336674
8,2015-02-04,1,29.88999938964844,1,10560.604701366541,0.007669582983666379
9,2015-02-05,0,29.98500061035156,1,10594.170119850301,0.003178361413283204
10,2015-02-06,0,29.732500076293945,1,10504.957728364276,-0.00842089474463592
11,2015-02-09,1,29.93000030517578,1,10574.737651022046,0.0066425705330881435
12,2015-02-10,1,30.5049991607666,1,10777.893748098977,0.01921145505272137
13,2015-02-11,0,31.219999313354492,1,11030.514495074049,0.023438786174676318
14,2015-02-12,1,31.614999771118164,1,11170.07434038959,0.012652161000999973
15,2015-02-13,0,31.770000457763672,1,11224.838509460484,0.004902757797490498
16,2015-02-17,0,31.957500457763672,1,11291.085194704377,0.005901794060383159
17,2015-02-18,0,32.18000030517578,1,11369.697873948775,0.0069623670257370485
18,2015-02-19,0,32.11249923706055,1,11345.84868987914,-0.0020976093062490264
19,2015-02-20,1,32.375,1,11438.594318779044,0.008174410873523774
20,2015-02-23,1,33.25,1,11747.745516583884,3.4335993176216575
21,2015-02-24,1,33.04249954223633,1,11674.432356512236,-1.1881441001143769
22,2015-02-25,0,32.1974983215332,1,11375.880197052897,-5.48329060244636
23,2015-02-26,1,32.60499954223633,1,11519.856757609816,1.7764607638415801
24,2015-02-27,0,32.1150016784668,1,11346.732841602772,-2.751763299327911
25,2015-03-02,1,32.272499084472656,1,11402.379140708907,0.694459993193913
26,2015-03-03,1,32.34000015258789,1,11426.228324778542,0.2742719844186284
27,2015-03-04,2,32.1349983215332,0,11342.444170669625,-1.2712391705554122
28,2015-03-05,0,31.602500915527344,0,11342.444170669625,-0.0468686751831429
29,2015-03-06,1,31.649999618530273,1,11331.101726498955,-0.20552189739267993
30,2015-03-09,1,31.78499984741211,1,11379.43352254944,0.6071726004368839
31,2015-03-10,1,31.127500534057617,1,11144.040420037014,-3.8221344870982468
32,2015-03-11,2,30.559999465942383,0,10929.926964204513,-3.3263318255713825
33,2015-03-12,2,31.112499237060547,0,10929.926964204513,-0.030019641360618507
34,2015-03-13,2,30.897499084472656,0,10929.926964204513,-0.02994369443203693
35,2015-03-16,2,31.237499237060547,0,10929.926964204513,-0.029867943665103
36,2015-03-17,2,31.760000228881836,0,10929.926964204513,-0.0297923885229864
37,2015-03-18,2,32.11750030517578,0,10929.926964204513,-0.02971702847054928
38,2015-03-19,2,31.875,0,10929.926964204513,-0.029641862974339413
39,2015-03-20,2,31.475000381469727,0,10929.926964204513,-0.029566891502583237
40,2015-03-23,2,31.802499771118164,0,10929.926964204513,-0.029492113525179088
41,2015-03-24,2,31.67250061035156,0,10929.926964204513,-0.029417528513690307
42,2015-03-25,0,30.844999313354492,0,10929.926964204513,-0.029343135941338597
43,2015-03-26,2,31.059999465942383,0,10929.926964204513,-0.029268935282997115
44,2015-03-27,2,30.8125,0,10929.926964204513,-0.029194926015183986
45,2015-03-30,2,31.592500686645508,0,10929.926964204513,-0.029121107616055457
46,2015-03-31,1,31.107500076293945,1,10918.997037240308,-0.18533018875856666
47,2015-04-01,2,31.0625,0,10892.298426192763,-0.4139972174336937
48,2015-04-02,2,31.329999923706055,0,10892.298426192763,-0.027531845119974013
49,2015-04-06,2,31.837499618530273,0,10892.298426192763,-0.02746230850437835
50,2015-04-07,1,31.502500534057617,1,10881.40612776657,-0.1850634568997989
51,2015-04-08,2,31.399999618530273,0,10835.154871076433,-0.7077321471611493
52,2015-04-09,2,31.63999938964844,0,10835.154871076433,-0.025139585792982953
53,2015-04-10,0,31.774999618530273,0,10835.154871076433,-0.02507618500803973
54,2015-04-13,1,31.712499618530273,1,10824.319716205357,-0.1839150476312863
55,2015-04-14,1,31.575000762939453,1,10777.387699132261,-0.7239359816822467
56,2015-04-15,0,31.69499969482422,1,10818.346526722276,0.5724674921307883
57,2015-04-16,0,31.542499542236328,1,10766.29416792881,-0.8037054658070495
58,2015-04-17,0,31.1875,1,10645.123380684174,-1.884207137040174
59,2015-04-20,2,31.899999618530273,0,10877.430135511015,3.226492649459939
60,2015-04-21,0,31.727500915527344,0,10877.430135511015,-0.025353223364807956
61,2015-04-22,1,32.154998779296875,1,10866.552705375503,-0.1805876345040651
62,2015-04-23,0,32.41749954223633,1,10955.262967666646,1.2014817382796714
63,2015-04-24,1,32.56999969482422,1,11006.799307538664,0.6865047843779108
64,2015-04-27,1,33.162498474121094,1,11207.030047937433,2.5610107545412104
65,2015-04-28,0,32.63999938964844,1,11030.455205596334,-2.6528212749079305
66,2015-04-29,1,32.15999984741211,1,10868.242780708124,-2.3908290538792283
67,2015-04-30,0,31.287500381469727,1,10573.387803503792,-4.450012667150876
68,2015-05-01,0,32.23749923706055,1,10894.433147189848,4.102623582532173
69,2015-05-04,1,32.17499923706055,1,10873.311717556231,-0.2910658325123443
70,2015-05-05,1,31.450000762939453,1,10628.303649466174,-3.340416750422317
71,2015-05-06,1,31.252500534057617,1,10561.559854474957,-0.8702810711596374
72,2015-05-07,2,31.315000534057617,0,10572.098602824466,0.12298907873664351
73,2015-05-08,2,31.905000686645508,0,10572.098602824466,-0.011738590254652369
74,2015-05-11,1,31.579999923706055,1,10561.526504221642,-0.1475182775775749
75,2015-05-12,1,31.467500686645508,1,10523.902575254253,-0.49819322491686174
76,2015-05-13,2,31.502500534057617,0,10525.072218124304,0.0050413335792030235
77,2015-05-14,2,32.23749923706055,0,10525.072218124304,-0.01010212194766374
78,2015-05-15,2,32.192501068115234,0,10525.072218124304,-0.010076804168626068
79,2015-05-18,2,32.54750061035156,0,10525.072218124304,-0.010051549994412833
80,2015-05-19,1,32.51750183105469,1,10514.54714590618,-0.1477469649263481
81,2015-05-20,1,32.51499938964844,1,10513.737980482509,-0.02026632283891124
82,2015-05-21,0,32.84749984741211,1,10621.252135701305,1.384563041545683
83,2015-05-22,1,33.1349983215332,1,10714.214881616655,1.1751788767720528
84,2015-05-26,0,32.404998779296875,1,10478.169239389506,-3.200049073753431
85,2015-05-27,1,33.0099983215332,1,10673.796081917133,2.45962753203078
86,2015-05-28,0,32.94499969482422,1,10652.778750127578,-0.27768096627801475
87,2015-05-29,0,32.56999969482422,1,10531.522351029009,-1.5653805251382782
88,2015-06-01,1,32.6349983215332,1,10552.539682818564,0.2552712762753204
89,2015-06-02,0,32.4900016784668,1,10505.65496063293,-0.6065908237201152
90,2015-06-03,0,32.529998779296875,1,10518.58803908903,0.15547185927309123
91,2015-06-04,0,32.34000015258789,1,10457.151907599951,-0.7969788976891311
92,2015-06-05,0,32.162498474121094,1,10399.756669293722,-0.7466738781901073
93,2015-06-08,1,31.950000762939453,1,10331.04544989486,-0.8958815043795179
94,2015-06-09,1,31.854999542236328,1,10300.326767408382,-0.4026350370048069
95,2015-06-10,0,32.220001220703125,1,10418.350205263894,1.5343212544252893
96,2015-06-11,0,32.147499084472656,1,10394.9066106872,-0.3080719628837665
97,2015-06-12,1,31.792499542236328,1,10280.11736755862,-1.5000682979830724
98,2015-06-15,0,31.729999542236328,1,10259.907967708858,-0.26475906500563984
99,2015-06-16,2,31.899999618530273,0,10304.562682409918,0.5834247798178505
100,2015-06-17,2,31.825000762939453,0,10304.562682409918,-0.0021418859490121424
101,2015-06-18,2,31.969999313354492,0,10304.562682409918,-0.002136524229920455
102,2015-06-19,0,31.649999618530273,0,10304.562682409918,-0.0021311759341264944
103,2015-06-22,0,31.90250015258789,0,10304.562682409918,-0.0021258410280134625
104,2015-06-23,2,31.75749969482422,0,10304.562682409918,-0.002120519478048834
105,2015-06-24,2,32.02750015258789,0,10304.562682409918,-0.002115211250784141
106,2015-06-25,2,31.875,0,10304.562682409918,-0.002109916312854764
107,2015-06-26,0,31.6875,0,10304.562682409918,-0.002104634630979722
108,2015-06-29,0,31.13249969482422,0,10304.562682409918,-0.0020993661719614573
109,2015-06-30,2,31.357500076293945,0,10304.562682409918,-0.0020941109026856326
110,2015-07-01,2,31.649999618530273,0,10304.562682409918,-0.0020888687901209164
111,2015-07-02,2,31.61000061035156,0,10304.562682409918,-0.0020836398013187765
112,2015-07-06,0,31.5,0,10304.562682409918,-0.0020784239034132724
113,2015-07-07,0,31.42250061035156,0,10304.562682409918,-0.0020732210636208452
114,2015-07-08,0,30.642499923706055,0,10304.562682409918,-0.0020680312492401143
115,2015-07-09,0,30.017499923706055,0,10304.562682409918,-0.0020628544276516674
116,2015-07-10,2,30.81999969482422,0,10304.562682409918,-0.002057690566317857
117,2015-07-13,2,31.415000915527344,0,10304.562682409918,-0.0020525396327825923
118,2015-07-14,1,31.40250015258789,1,10294.258119727509,-0.1427764074080284
119,2015-07-15,0,31.704999923706055,1,10393.422540073581,1.3537643355064872
120,2015-07-16,0,32.127498626708984,1,10531.924591911127,1.8528065243273373
121,2015-07-17,0,32.404998779296875,1,10622.893724468177,1.18488996544161
122,2015-07-20,1,33.01750183105469,1,10823.682339491752,2.5422380498754773
123,2015-07-21,0,32.6875,1,10715.502289739257,-1.433536117244098
124,2015-07-22,1,31.30500030517578,1,10262.296059668046,-6.35025235386824
125,2015-07-23,0,31.290000915527344,1,10257.379012046706,-0.061671790852957174
126,2015-07-24,0,31.125,1,10203.28898717046,-0.6738225557091464
127,2015-07-27,1,30.6924991607666,1,10061.508069904849,-1.7711890147769103
128,2015-07-28,1,30.844999313354492,1,10111.500138256393,0.6396002238416963
129,2015-07-29,0,30.747499465942383,1,10079.53807819693,-0.39787703125850526
130,2015-07-30,0,30.592500686645508,1,10028.726918748749,-0.6362471028319129
131,2015-07-31,2,30.325000762939453,0,9931.094990333027,-1.2275332460668864
132,2015-08-03,0,29.61000061035156,0,9931.094990333027,0.009638557734743406
133,2015-08-04,0,28.65999984741211,0,9931.094990333027,0.009614404368390261
134,2015-08-05,2,28.850000381469727,0,9931.094990333027,0.009590311661813268
135,2015-08-06,2,28.782499313354492,0,9931.094990333027,0.009566279461668104
136,2015-08-07,2,28.8799991607666,0,9931.094990333027,0.009542307615005588
137,2015-08-10,2,29.93000030517578,0,9931.094990333027,0.0095183959692706
138,2015-08-11,0,28.372499465942383,0,9931.094990333027,0.009494544372301
139,2015-08-12,2,28.809999465942383,0,9931.094990333027,0.009470752672326574
140,2015-08-13,2,28.787500381469727,0,9931.094990333027,0.009447020717967962
141,2015-08-14,2,28.989999771118164,0,9931.094990333027,0.009423348358235602
142,2015-08-17,1,29.290000915527344,1,9921.163895342694,-0.12135091356353739
143,2015-08-18,1,29.125,1,9865.2744766107,-0.7243132116735237
144,2015-08-19,2,28.752500534057617,0,9729.361660007444,-1.761316959021021
145,2015-08-20,2,28.162500381469727,0,9729.361660007444,0.0159098470191138
146,2015-08-21,0,26.440000534057617,0,9729.361660007444,0.015869902290400324
147,2015-08-24,1,25.780000686645508,1,9719.632298347437,-0.11532468296308934
148,2015-08-25,1,25.934999465942383,1,9778.07027745264,0.8183864739375829
149,2015-08-26,2,27.42250061035156,0,10328.55232424893,8.209014331354648
150,2015-08-27,1,28.229999542236328,1,10318.223771924682,-0.12096254279881005
151,2015-08-28,2,28.322500228881836,0,10341.681260393016,0.2623363709101434
152,2015-08-31,1,28.190000534057617,1,10331.339579132622,-0.12188670652723799
153,2015-09-01,0,26.93000030517578,1,9869.562708336325,-5.3789768231231925
154,2015-09-02,1,28.084999084472656,1,10292.857648965477,4.944550196920627
155,2015-09-03,2,27.592500686645508,0,10102.24978863321,-1.9610546870964023
156,2015-09-04,2,27.3174991607666,0,10102.24978863321,0.0016711837706736468
157,2015-09-08,2,28.07749938964844,0,10102.24978863321,0.0016670004360330064
158,2015-09-09,2,27.537500381469727,0,10102.24978863321,0.001662827573880889
159,2015-09-10,1,28.142499923706055,1,10092.147538844576,-0.103452682929749
160,2015-09-11,0,28.552499771118164,1,10239.177083561792,1.541852194819088
161,2015-09-14,0,28.82749938964844,1,10337.794361019638,1.0077416823921
162,2015-09-15,1,29.06999969482422,1,10424.757099393397,0.875691415151788
163,2015-09-16,0,29.102500915527344,1,10436.412322469445,0.11079273924280125
164,2015-09-17,0,28.479999542236328,1,10213.17786499702,-2.29597275409085
165,2015-09-18,0,28.362499237060547,1,10171.041224012459,-0.43171965259943074
166,2015-09-21,0,28.802499771118164,1,10328.82927834019,1.620617155520605
167,2015-09-22,0,28.350000381469727,1,10166.559024668717,-1.650639897318272
168,2015-09-23,1,28.579999923706055,1,10249.038879706772,0.8407252098298508
169,2015-09-24,0,28.75,1,10310.00239951576,0.6139621560618375
