episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,-2.1162685716489906,1.4533883785017025,0.71557,0.0,sharpe_ratio,1,0,6.913788358991065,0.4802894279582113,0.29729435163996387,1.615534991865107,-0.34103783046300673,0.11746001930524463,0.10563822712480242,0.3627023444581106,0.2912532238594417,-0.5572582563532466
2,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,8.98449202447343,0.9637107192355151,0.4311400000000001,0.0,sharpe_ratio,0,1,9.726133874053048,0.5594387168282928,0.300694388965782,1.8604893784431578,-0.3285668902538945,-0.11886408581359997,0.026394846996115495,0.3620765623578537,0.07289852406969245,-0.5631631565281646
3,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,-8.789274214407305,0.8288793012788476,0.14671,0.0,sharpe_ratio,1,0,3.8285231664193313,0.3415929975456977,0.2403274359626799,1.4213649647506048,-0.30159855480557174,0.38093035651583107,0.1524515030147493,0.2860852234869822,0.5328884209976904,-0.3761853078090086
4,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,-9.927723103721153,0.8636773793237084,0.050000000000000044,0.0,sharpe_ratio,1,0,6.245366247483355,0.4379891398471658,0.24501741729729287,1.7875836937572889,-0.24048457453272143,0.576262146091036,0.20170638516213502,0.2880078009028368,0.7003504229046328,-0.3023890554548768
5,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,-8.879026122421406,0.8938448284177201,0.050000000000000044,0.0,sharpe_ratio,0,1,9.92338761030957,0.5460540878929487,0.2589160676331677,2.1090003910711257,-0.23626619119335246,0.5192560753147493,0.17877668203809316,0.25923005484783446,0.6896448876000638,-0.4103670453493967
6,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,-10.596173513834712,0.8818768139632447,0.050000000000000044,0.0,sharpe_ratio,0,2,9.709152863635012,0.5352380920060817,0.24419687158771697,2.1918302578000923,-0.23068625009451216,0.2990403798792909,0.11699689455472595,0.23949472427252158,0.48851553999826286,-0.38419789571602336
7,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,2.509078296030529,0.8821634290094127,0.050000000000000044,0.0,sharpe_ratio,0,3,13.183583875784349,0.6155693008380625,0.2586442079864869,2.3799848665863936,-0.20293947883752694,0.06279578721554802,0.05886359495067417,0.27555626180315695,0.21361733740140246,-0.5156228741279003
8,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,1.8218751063033454,0.8816185056486365,0.050000000000000044,0.0,sharpe_ratio,0,4,16.537959073802224,0.6729356358494509,0.2552599890042377,2.63627542441945,-0.1989446503143647,-0.04391631974816701,0.023871777240879855,0.27331651639946875,0.08734114408947682,-0.5524772347288283
9,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,5.581294636457226,0.906127916229671,0.050000000000000044,0.0,sharpe_ratio,0,5,19.856204046944555,0.71217689706859,0.23079887576076652,3.085703492796878,-0.1691159965274205,0.060352435696258144,0.049167715440258775,0.24367923645211087,0.20177228128306893,-0.4136938606089101
10,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,4.698539258234805,0.8526340998963029,0.050000000000000044,0.0,sharpe_ratio,0,6,19.72203809752836,0.7158051597360544,0.24422286482009484,2.930950630946646,-0.1691159965274206,-0.17802882905488948,-0.020607595998954675,0.2839095147094412,-0.07258508408936175,-0.5774478789104625
11,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,6.8124403641297615,0.8838887352623299,0.050000000000000044,0.0,sharpe_ratio,0,7,26.770789836506413,0.8032498401113697,0.24606040761019518,3.264441638184493,-0.17902256336547118,0.15644934438622138,0.09255496840234945,0.2937058548467939,0.3151281013809854,-0.4934665235231368
12,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,7.613637573828444,0.8295302845552593,0.050000000000000044,0.0,sharpe_ratio,0,8,23.900333658429627,0.7680748854509178,0.24059179899919858,3.1924400110307847,-0.1691159965274207,0.025130068278736095,0.04122503614483586,0.25559705834944235,0.16128916510640975,-0.44077180306198716
13,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,17.754768548900916,0.8734195950474035,0.050000000000000044,0.0,sharpe_ratio,0,9,28.341818827937985,0.8051333423115028,0.20995070914569272,3.8348684107220157,-0.14791813764154071,-0.2556317187141761,-0.055324189481670505,0.26531871313968,-0.20851974151007008,-0.5023356381237918
14,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,-0.7380284421764405,0.8656686308309087,0.050000000000000044,0.0,sharpe_ratio,0,10,51.349986078086104,1.009813271704172,0.25333466941643873,3.986083997229026,-0.16479813785291408,-0.1709689729924203,-0.013411437448915153,0.2998029905509238,-0.04473416834258403,-0.5363853292695275
