episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,weight_decay,validation_selector,checkpoint_updated,episodes_without_improvement,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
1,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,-0.5867143807007507,1.7776750129384873,0.71557,0.0,sharpe_ratio,1,0,2.268433351342554,0.2583733172295175,0.2465731956764447,1.047856465179439,-0.21627407008057686,0.6796622468381779,0.20465631684958896,0.22061267913439672,0.9276725057353246,-0.23166578694473694
2,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,31.87350911471416,1.4883329894993411,0.4311400000000001,0.0,sharpe_ratio,0,1,2.771837436719361,0.2906067601312785,0.25162357253011475,1.154926612038696,-0.21627407008057697,0.4527456239161187,0.1526973296627545,0.225976572219159,0.6757219483560621,-0.30003374309149666
3,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,25.99621565454664,1.2726946018422216,0.14671,0.0,sharpe_ratio,0,2,3.085436264117705,0.3054211586279798,0.2433170355426095,1.2552395188724659,-0.2682886055965845,0.6022131660901666,0.1892365262533633,0.2286649268859776,0.8275712800840899,-0.2128837978878355
4,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,2.9652057700139993,1.2059548542988483,0.050000000000000044,0.0,sharpe_ratio,1,0,3.99212398705835,0.3441163910274867,0.2239876088573932,1.5363188739899278,-0.2686029485231167,0.47180767991013206,0.14054623042832715,0.1475177533828003,0.9527411257655041,-0.13707479898469999
5,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,20.703667452543023,1.181029771715303,0.050000000000000044,0.0,sharpe_ratio,0,1,3.8926430191021275,0.3316106574426434,0.19543271046332716,1.696802222393932,-0.15846383476358417,0.2971286354899241,0.09069720194748077,0.10581782993080333,0.8571069923356935,-0.10038665062173568
6,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,38.49006430725528,1.246246815205576,0.050000000000000044,0.0,sharpe_ratio,0,2,6.271246548382224,0.4238750967835585,0.19681138601702244,2.1537122692022352,-0.1473903128642552,0.20612921037524745,0.06548609575871245,0.09927155420618375,0.6596662687752424,-0.10779772305945301
7,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,10.77607323370081,1.2982435217083654,0.050000000000000044,0.0,sharpe_ratio,1,0,10.048501024785509,0.5281682604332623,0.19803478236353572,2.667047950514547,-0.1473903128642553,0.6968088207062229,0.190368582879207,0.1363084105833999,1.396601882924389,-0.10193003799470846
8,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,13.4620720863006,1.259040996163546,0.050000000000000044,0.0,sharpe_ratio,0,1,11.308705054264948,0.552918974827916,0.187917492424414,2.9423496859948597,-0.09574345410583884,0.56761139161236,0.16494337382647495,0.1575987524089656,1.0466032966964751,-0.15860439538488702
9,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,52.13646011947487,1.3001168914532455,0.050000000000000044,0.0,sharpe_ratio,0,2,8.738275187810935,0.4968348616007894,0.2016012693205248,2.4644431221852785,-0.17291610332310703,0.45806423992815226,0.1416584528278113,0.17223353529024504,0.822478924264609,-0.1732443296200068
10,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,22.18349463569626,1.3898067572511827,0.050000000000000044,0.0,sharpe_ratio,0,3,9.063610401395321,0.49474342783390335,0.16327215764873318,3.0301763323193396,-0.09106404284007352,0.25140301970948875,0.07994637564559137,0.11780001429492132,0.6786618501203194,-0.10742242435048566
11,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,33.70535830592336,1.3967297444880287,0.050000000000000044,0.0,sharpe_ratio,0,4,12.116973625777367,0.5661974428917986,0.1754857933622737,3.2264574359186895,-0.12152096399686252,0.0971365796379342,0.04194531622078812,0.15608542468992534,0.26873307552012266,-0.28218245614044446
12,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,25.0135504455802,1.2959165985813599,0.050000000000000044,0.0,sharpe_ratio,0,5,12.080847942088061,0.565011774645011,0.17380057928072537,3.2509199738189323,-0.11265576971288904,0.0726343126184148,0.03348280989693375,0.14867504021977274,0.22520800967962862,-0.2592794381470108
13,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,24.814919572968588,1.2977972495492172,0.050000000000000044,0.0,sharpe_ratio,0,6,13.22842088664139,0.5842249679260512,0.1621868397747751,3.6021724619417337,-0.08070144563656156,0.010220321013080236,0.012822631529797679,0.13849633002944325,0.09258463041635606,-0.23682006138583545
14,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,24.82598268779146,1.2688330440777655,0.050000000000000044,0.0,sharpe_ratio,0,7,16.785296644454043,0.6471265236276571,0.17051692662858303,3.7950867190869366,-0.07918196910933828,0.06433155548614677,0.03075983986998354,0.14728946166851226,0.20883938009910877,-0.29400301112005933
15,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,17.204539287438354,1.2878146981428524,0.050000000000000044,0.0,sharpe_ratio,0,8,14.017816908293703,0.6013349550560534,0.17199562184826422,3.496222453770105,-0.07517688475640039,0.14001619324231362,0.053238469453157355,0.14834500266058787,0.35888279684733654,-0.2393827795702007
16,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,12.981392583676348,1.279976965868242,0.050000000000000044,0.0,sharpe_ratio,0,9,18.242640171529533,0.6694367296223867,0.17143133132556737,3.9049847215562425,-0.0810002470898904,0.2580165646570707,0.08676082461423862,0.15218274854678662,0.5701094601242869,-0.17195379243754683
17,46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,8.718189554245386,1.2995231654457673,0.050000000000000044,0.0,sharpe_ratio,0,10,21.158375043909565,0.7105615824375937,0.17498601210072115,4.0606764729777245,-0.07889598054618618,0.37940476784784605,0.1196809321052823,0.15912750474704437,0.752107137578334,-0.23046327028853109
