step,date,action,price,position,portfolio_value,reward
0,2020-10-20,0,9.270000457763672,0,10000.0,0.0
1,2020-10-21,1,9.199999809265137,1,9990.0,-0.0010000000000000009
2,2020-10-22,0,9.68000030517578,1,10511.21794060454,0.05217396802848251
3,2020-10-23,1,9.489999771118164,1,10304.902139018974,-0.019628153725989583
4,2020-10-26,0,9.949999809265137,1,10804.402190797271,0.048472081058098304
5,2020-10-27,0,10.949999809265137,1,11890.271778526965,0.1005025144893803
6,2020-10-28,1,10.850000381469728,1,11781.68544109356,-0.009132367994271195
7,2020-10-29,1,10.75,1,11673.098068094214,-0.009216624696208653
8,2020-10-30,1,10.130000114440918,1,10999.859047969716,-0.057674407958984375
9,2020-11-02,2,10.539999961853027,0,11433.620347835093,0.03943335073420218
10,2020-11-03,0,10.5,0,11433.620347835093,0.0
11,2020-11-04,1,10.720000267028809,1,11422.18672748726,-0.0009999999999997788
12,2020-11-05,0,11.880000114440918,1,12658.169426270362,0.1082089382945155
13,2020-11-06,0,13.829999923706056,1,14735.8990330966,0.16414139650510484
14,2020-11-09,0,14.670000076293944,1,15630.921267702937,0.060737538483137676
15,2020-11-10,0,14.0,1,14917.034533726088,-0.04567144327263062
16,2020-11-11,0,15.960000038146973,1,17005.419409093436,0.14000000272478386
17,2020-11-12,0,14.579999923706056,1,15535.025883117642,-0.08646617237734933
18,2020-11-13,1,15.800000190734863,1,16834.939177005053,0.08367628761404666
19,2020-11-16,0,15.93000030517578,1,16973.454619612447,0.008227855245036553
20,2020-11-17,0,17.850000381469727,1,19019.219436957697,3.610229356789903
21,2020-11-18,0,17.899999618530273,1,19072.493747378565,0.04822827288538927
22,2020-11-19,1,18.979999542236328,1,20223.236330117477,2.09370468513015
23,2020-11-20,0,18.149999618530273,1,19338.869364052243,-2.25895410594791
24,2020-11-23,0,21.040000915527344,1,22418.172874753564,3.533251180194152
25,2020-11-24,0,23.81999969482422,1,25380.268431502696,3.0530437786034264
26,2020-11-25,0,29.049999237060547,1,30952.845844567764,2.538835974044459
27,2020-11-27,1,27.65999984741211,1,29471.798066193198,-1.9000927503380909
28,2020-11-30,1,27.11000061035156,1,28885.772522424966,-0.7803869227144574
29,2020-12-01,1,25.670000076293945,1,27351.448401344864,-2.0818178850555147
30,2020-12-02,0,22.510000228881836,1,23984.46076917232,-5.3305281120478085
31,2020-12-03,0,24.030000686645508,1,25604.02500629662,1.7319183685261013
32,2020-12-04,1,23.850000381469727,1,25412.23423712602,-0.31099565551349057
33,2020-12-07,0,28.940000534057617,1,30835.641955184925,3.473585241577459
34,2020-12-08,0,28.59000015258789,1,30462.715685384836,-0.4373212382183562
35,2020-12-09,1,26.6299991607666,1,28374.329793875153,-2.3300212426212665
36,2020-12-10,1,27.040000915527344,1,28811.18767492189,0.34458512094957927
37,2020-12-11,1,27.200000762939453,1,28981.66790701027,0.08823819658635432
38,2020-12-14,2,27.239999771118164,0,28995.26266194114,-0.06403482235576244
39,2020-12-15,0,26.43000030517578,0,28995.26266194114,-0.07715192769721861
40,2020-12-16,1,25.920000076293945,1,28966.267399279193,-0.10549325466387016
41,2020-12-17,2,27.229999542236328,0,30399.795303060364,1.1932489806955155
42,2020-12-18,1,25.969999313354492,1,30369.3955077573,-0.10848276621085154
43,2020-12-21,2,28.510000228881836,0,33306.34055733291,2.121548886587509
44,2020-12-22,2,28.040000915527344,0,33306.34055733291,-0.08521466597112909
45,2020-12-23,1,28.690000534057617,1,33273.03421677557,-0.1134551829721483
46,2020-12-24,1,27.75,1,32182.87495043613,-1.0855082568124528
47,2020-12-28,2,25.6299991607666,0,29694.494086946444,-2.6445208164059437
48,2020-12-29,2,24.65999984741211,0,29694.494086946444,-0.07476038006740071
49,2020-12-30,1,25.100000381469727,1,29664.799592859497,-0.10268641072397304
50,2020-12-31,1,23.549999237060547,1,27832.90825346547,-2.0222362748004326
