step,date,action,price,position,portfolio_value,reward
0,2015-01-23,0,28.2450008392334,0,10000.0,0.0
1,2015-01-26,0,28.274999618530273,0,10000.0,0.0
2,2015-01-27,0,27.28499984741211,0,10000.0,0.0
3,2015-01-28,0,28.82749938964844,0,10000.0,0.0
4,2015-01-29,0,29.725000381469727,0,10000.0,0.0
5,2015-01-30,0,29.290000915527344,0,10000.0,0.0
6,2015-02-02,0,29.657499313354492,0,10000.0,0.0
7,2015-02-03,0,29.662500381469727,0,10000.0,0.0
8,2015-02-04,0,29.88999938964844,0,10000.0,0.0
9,2015-02-05,0,29.98500061035156,0,10000.0,0.0
10,2015-02-06,0,29.732500076293945,0,10000.0,0.0
11,2015-02-09,0,29.93000030517578,0,10000.0,0.0
12,2015-02-10,0,30.5049991607666,0,10000.0,0.0
13,2015-02-11,0,31.219999313354492,0,10000.0,0.0
14,2015-02-12,0,31.614999771118164,0,10000.0,0.0
15,2015-02-13,0,31.770000457763672,0,10000.0,0.0
16,2015-02-17,0,31.957500457763672,0,10000.0,0.0
17,2015-02-18,0,32.18000030517578,0,10000.0,0.0
18,2015-02-19,0,32.11249923706055,0,10000.0,0.0
19,2015-02-20,0,32.375,0,10000.0,0.0
20,2015-02-23,0,33.25,0,10000.0,0.0
21,2015-02-24,0,33.04249954223633,0,10000.0,0.0
22,2015-02-25,0,32.1974983215332,0,10000.0,0.0
23,2015-02-26,0,32.60499954223633,0,10000.0,0.0
24,2015-02-27,0,32.1150016784668,0,10000.0,0.0
25,2015-03-02,0,32.272499084472656,0,10000.0,0.0
26,2015-03-03,0,32.34000015258789,0,10000.0,0.0
27,2015-03-04,0,32.1349983215332,0,10000.0,0.0
28,2015-03-05,1,31.602500915527344,1,9990.0,-0.0010000000000000009
29,2015-03-06,0,31.649999618530273,1,10005.01501556056,0.0015030045606165832
30,2015-03-09,0,31.78499984741211,1,10047.690507925372,0.004265410126665481
31,2015-03-10,0,31.127500534057617,1,9839.845623814188,-0.020685836605659924
32,2015-03-11,0,30.559999465942383,1,9660.450465006183,-0.018231501353419333
33,2015-03-12,0,31.112499237060547,1,9835.1035004803,0.018079181308032766
34,2015-03-13,0,30.897499084472656,1,9767.138894448197,-0.00691041085930455
35,2015-03-16,0,31.237499237060547,1,9874.617778269198,0.011004131812039075
36,2015-03-17,0,31.760000228881836,1,10039.787772955598,0.01672672283578258
37,2015-03-18,0,32.11750030517578,1,10152.798631549444,0.01125629955030183
38,2015-03-19,0,31.875,1,10076.14083616858,-0.007550410301909394
39,2015-03-20,0,31.475000381469727,1,9949.695267832118,-0.012549007640165533
40,2015-03-23,0,31.802499771118164,1,10053.222482698216,0.01040506388178608
41,2015-03-24,0,31.67250061035156,1,10012.127899091376,-0.0040877025926328026
42,2015-03-25,0,30.844999313354492,1,9750.542970129663,-0.026126806568806615
43,2015-03-26,0,31.059999465942383,1,9818.507576161768,0.00697034065080393
44,2015-03-27,0,30.8125,1,9740.26947496296,-0.007968431107469032
45,2015-03-30,0,31.592500686645508,1,9986.838785424085,0.025314423907359274
46,2015-03-31,0,31.107500076293945,1,9833.523194662357,-0.015351763862003431
47,2015-04-01,0,31.0625,1,9819.298030540755,-0.0014465989289905723
48,2015-04-02,0,31.329999923706055,1,9903.85856089139,0.008611667563977576
